study,treatment,mean,std.dev,sampleSize
Ratti 2011_study 096,trt_031,-2.4522440031035933,1,123
Ratti 2011_study 096,trt_039,-2.4522440031035933,1,113
Reimherr 1990,trt_031,-1.0172260477768216,1,141
Reimherr 1990,trt_039,-1.453536239837958,1,142
Reimherr 1990,trt_046,-1.5757030936150764,1,144
Richou 1995,trt_026,-2.52292076389994,1,87
Richou 1995,trt_046,-2.52292076389994,1,87
Rickels 1992,trt_031,-2.5079124864210702,1,56
Rickels 1992,trt_039,-2.5079124864210702,1,55
Rickels 1994,trt_031,-6.743786182175771,1,95
Rickels 1994,trt_046,-6.743786182175771,1,92
Rickhi 2011,trt_040,-1.8026471263064,1,39
Rickhi 2011,trt_048,-0.48777510476526115,1,45
Robinson 2014,trt_031,-0.964255211841503,1,95
Robinson 2014,trt_038,-1.0006676464145388,1,201
Roose 2004,trt_031,-3.4181704561609982,1,90
